segment,title,url,price_rub,seller,rating,reviews_or_orders,kwork_choice
website_repair,"Правки сайта на Wordpress",https://kwork.ru/website-repair/27038/pravki-sayta-na-wordpress,500,Mendax,5.0,2K+,false
frontend,"Верстка сайта Wordpress из psd-макета",https://kwork.ru/frontend/31223/verstka-sayta-wordpress-iz-psd-maketa,1500,Mendax,5.0,2K+,false
frontend,"Правки верстки тем и адаптации под мобильные",https://kwork.ru/frontend/389452/pravki-verstki-tem-i-adaptatsii-pod-mobilnie,500,Mendax,5.0,2K+,false
website_repair,"Настрою сайт на CMS Wordpress",https://kwork.ru/website-repair/389460/nastroyu-sayt-na-cms-wordpress,500,Mendax,5.0,2K+,false
website_development,"Создание сайта на WordPress, Tilda, 1C Битрикс. Лендинг под ключ",https://kwork.ru/website-development/43077032/sozdanie-sayta-na-wordpress-tilda-1c-bitriks-lending-pod-klyuch,10000,Mendax,5.0,2K+,false
website_repair,"Доработка сайта",https://kwork.ru/website-repair/9558452/dorabotka-sayta,500,Chris09,5.0,255,false
website_repair,"Доработка сайта на Тильда, дополнительный блок",https://kwork.ru/website-repair/48360850/dorabotka-sayta-na-tilda-dopolnitelniy-blok,3000,A-Marina,5.0,92,false
website_repair,"Переезд сайта на новый домен или хостинг и VDS",https://kwork.ru/website-repair/27764790/pereezd-sayta-na-noviy-domen-ili-khosting-i-vds,1500,LEOnidUKG,5.0,1K+,false
website_repair,"PHP, JavaScript, Jquery, MySQL, Laravel - доработка или правки сайтов",https://kwork.ru/website-repair/23786569/php-javascript-jquery-mysql-laravel-dorabotka-ili-pravki-saytov,500,dmarinin34,4.9,133,false
website_repair,"Найду вредоносный код в файлах вашего сайта",https://kwork.ru/website-repair/87983/naydu-vredonosniy-kod-v-faylakh-vashego-sayta,4000,mobilekid,4.8,485,false
website_repair,"Ускорение загрузки сайта с гарантией. Opencart, Ocstore",https://kwork.ru/website-repair/147019/uskorenie-zagruzki-sayta-s-garantiey-opencart-ocstore,6000,codee,5.0,2K+,false
website_repair,"Создам Sitemap и robots.txt для вашего сайта",https://kwork.ru/website-repair/34576065/sozdam-sitemap-i-robots-txt-dlya-vashego-sayta,500,webbypro,5.0,367,true
website_repair,"Доработка готовых решений на 1С-Битрикс",https://kwork.ru/website-repair/16045572/dorabotka-gotovykh-resheniy-na-1s-bitriks,1000,Income_media,5.0,259,false
website_repair,"Доработка сайта на CMS Tilda. Изменение, правка сайта",https://kwork.ru/website-repair/32197066/dorabotka-sayta-na-cms-tilda-izmenenie-pravka-sayta,2000,zhdanovdesign,5.0,159,true
website_repair,"Решение технической проблемы с Opencart и OcStore",https://kwork.ru/website-repair/37008774/reshenie-tekhnicheskoy-problemy-s-opencart-i-ocstore,1000,LEOnidUKG,5.0,1K+,false
website_repair,"Установка лучших сео-плагинов Rank Math SEO, SEOPress, Slim SEO",https://kwork.ru/website-repair/15455671/ustanovka-luchshikh-seo-plaginov-rank-math-seo-seopress-slim-seo,500,EmOne,5.0,3K+,true
website_repair,"Восстановлю забытый пароль от админки сайта или бота",https://kwork.ru/website-repair/51691477/vosstanovlyu-zabytiy-parol-ot-adminki-sayta-ili-bota,500,romcka8,5.0,41,false
website_repair,"Веб программирование, доработка сайта",https://kwork.ru/website-repair/37050338/veb-programmirovanie-dorabotka-sayta,3000,lilliputten,5.0,20,false
website_repair,"Доработка веб приложения на Django",https://kwork.ru/website-repair/24719434/dorabotka-veb-prilozheniya-na-django,2000,timofey_dev,4.9,30,false
ai_agents,"Разработаю автоматизацию сценариев любой сложности в n8n, Make, Zapier",https://kwork.ru/script-programming/53062235/razrabotayu-avtomatizatsiyu-stsenariev-lyuboy-slozhnosti-v-n8n-make-zapier,13000,novaclaw_it,5.0,11,false
ai_agents,"Telegram-бот с ИИ для медицины и реабилитации и другие сферы под ключ",https://kwork.ru/script-programming/51436695/telegram-bot-s-ii-dlya-meditsiny-i-reabilitatsii-i-drugie-sfery-pod-klyuch,35000,9503060,5.0,15,false
ai_agents,"Разработаю MVP приложение, бота, AI-сервис, OpenClaw, RAG система",https://kwork.ru/script-programming/50921875/razrabotayu-mvp-prilozhenie-bota-ai-servis-openclaw-rag-sistema,500,RuslanSenatorov,5.0,34,true
ai_agents,"Создам ИИ агент: автоматизирую поддержку, продажи и рутину, ии бот",https://kwork.ru/script-programming/43854402/sozdam-ii-agent-avtomatiziruyu-podderzhku-prodazhi-i-rutinu-ii-bot,2500,anastasia_dev,5.0,76,true
ai_agents,"Настрою автопостинг из Telegram в TikTok, YouTube, VK через Make.com",https://kwork.ru/script-programming/52317068/nastroyu-avtoposting-iz-telegram-v-tiktok-youtube-vk-cherez-make-com,1000,PlusPlus,4.1,11,false
ai_agents,"Правки в готовых автоматизациях N8N",https://kwork.ru/script-programming/53248956/pravki-v-gotovykh-avtomatizatsiyakh-n8n,2000,maksim-pahryaev,5.0,50,false
ai_agents,"Создание автоматизации n8n",https://kwork.ru/script-programming/42361188/sozdanie-avtomatizatsii-n8n,2500,anastasia_dev,5.0,76,true
ai_agents,"Создам MVP AI-агента с расширенным бизнес-функционалом с нуля",https://kwork.ru/script-programming/52798254/sozdam-mvp-ai-agenta-s-rasshirennym-biznes-funktsionalom-s-nulya,9000,novaclaw_it,5.0,11,false
ai_agents,"Создам ИИ агента для бизнеса: отвечает клиентам и продаёт 24 на 7",https://kwork.ru/script-programming/53757302/sozdam-ii-agenta-dlya-biznesa-otvechaet-klientam-i-prodayot-24-na-7,500,MaxAbu,5.0,2,false
ai_agents,"Контент-завод на базе AI",https://kwork.ru/script-programming/52823312/kontent-zavod-na-baze-ai,65000,Ikam_pro,,,false
ai_agents,"AI-агент для заявок, CRM, продаж и поддержки на n8n",https://kwork.ru/script-programming/47458602/ai-agent-dlya-zayavok-crm-prodazh-i-podderzhki-na-n8n,500000,n8n_botz,5.0,313,true
ai_agents,"AI-агент для бизнеса: заявки, CRM, продажи и поддержка на n8n",https://kwork.ru/script-programming/29509247/ai-agent-dlya-biznesa-zayavki-crm-prodazhi-i-podderzhka-na-n8n,500000,n8n_botz,5.0,313,false
ai_agents,"Создам ИИ-агента по вашим документам и товарам для сайта или Telegram",https://kwork.ru/script-programming/53055105/sozdam-ii-agenta-po-vashim-dokumentam-i-tovaram-dlya-sayta-ili-telegram,25000,business_partner,4.8,98,false
ai_agents,"Hermes agent - личный самообучающийся агент",https://kwork.ru/script-programming/50717118/hermes-agent-lichniy-samoobuchayushchiysya-agent,2500,AIAmbassador,5.0,202,false
ai_agents,"AI агент и LLM GPT интеграция в ваш проект, OpenAI, Claude, ИИ чат-бот",https://kwork.ru/script-programming/50203350/ai-agent-i-llm-gpt-integratsiya-v-vash-proekt-openai-claude-ii-chat-bot,15000,rokoss21,5.0,83,true
server_admin,"Решение технических проблем с Linux веб-сервером VDS, VPS, Dedicated",https://kwork.ru/server-administration/40356319/reshenie-tekhnicheskikh-problem-s-linux-veb-serverom-vds-vps-dedicated,1000,LEOnidUKG,5.0,1K+,true
server_admin,"Настройка VPS, VDS сервера на Linux",https://kwork.ru/server-administration/429939/nastroyka-vps-vds-servera-na-linux,1000,alexwebdev_pro,5.0,1K+,false
server_admin,"Настройка Linux сервера",https://kwork.ru/server-administration/28677230/nastroyka-linux-servera,2000,Constantinesx,4.9,240,false
server_admin,"Настройка и оптимизация Mysql, MariaDB",https://kwork.ru/server-administration/25380259/nastroyka-i-optimizatsiya-mysql-mariadb,4000,gev511,5.0,86,false
server_admin,"Полная настройка сервера с нуля",https://kwork.ru/server-administration/37190094/polnaya-nastroyka-servera-s-nulya,3000,HeavY_MT,5.0,129,false
