segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
ai-bots,"Телеграм бизнес на ChatGPT, Сиденс 2, GPT Image 2, Suno, Nano Banana 2",https://kwork.ru/script-programming/26588333/telegram-biznes-na-chatgpt-sidens-2-gpt-image-2-suno-nano-banana-2,pauldev,https://kwork.ru/user/pauldev,16000,5.0,55,Выбор Kwork
ai-bots,"Интеграция MidJourney в бот",https://kwork.ru/script-programming/26777596/integratsiya-midjourney-v-bot,Ilya_full_stack,https://kwork.ru/user/ilya_full_stack,75000,5.0,21,
ai-bots,"Jivo + chatgpt - искуственный интеллект в чате + интеграция с базой",https://kwork.ru/script-programming/29747532/jivo-chatgpt-iskustvenniy-intellekt-v-chate-integratsiya-s-bazoy,AIAmbassador,https://kwork.ru/user/aiambassador,15000,5.0,202,
ai-bots,"Чат-бот в телеграм на chatgpt 4 откроет сделку в crm и многое другое",https://kwork.ru/script-programming/32062959/chat-bot-v-telegram-na-chatgpt-4-otkroet-sdelku-v-crm-i-mnogoe-drugoe,AIAmbassador,https://kwork.ru/user/aiambassador,8000,5.0,202,
ai-bots,"Автоматизация процессов с Make.com",https://kwork.ru/script-programming/35619226/avtomatizatsiya-protsessov-s-make-com,NastyaDes8,https://kwork.ru/user/nastyades8,19000,5.0,13,
ai-bots,"Нейросеть для СЕО описания товара Вайлдберриз - Chat gpt Wildberries",https://kwork.ru/script-programming/36266634/neyroset-dlya-seo-opisaniya-tovara-vayldberriz-chat-gpt-wildberries,Top-alt,https://kwork.ru/user/top-alt,5000,4.5,69,
ai-bots,"Создам ИИ-ассистента GPT, Claude на n8n, Hermes agent под ваши задачи",https://kwork.ru/script-programming/41100382/sozdam-ii-assistenta-gpt-claude-na-n8n-hermes-agent-pod-vashi-zadachi,anastasia_dev,https://kwork.ru/user/anastasia_dev,8000,5.0,76,
ai-bots,"Разработка и настройка AI-ассистента для бизнеса: локально или по API",https://kwork.ru/script-programming/41711023/razrabotka-i-nastroyka-ai-assistenta-dlya-biznesa-lokalno-ili-po-api,ProducerSmm,https://kwork.ru/user/producersmm,19000,5.0,564,
ai-bots,"Интеграция телефонии с VAPI, retell AI, elevenlabs",https://kwork.ru/script-programming/43232517/integratsiya-telefonii-s-vapi-retell-ai-elevenlabs,artem_lek,https://kwork.ru/user/artem_lek,8000,5.0,60,
ai-bots,"Чат-бот телеграм, WhatsApp бот, ИИ чат-бот: автоворонка, GPT",https://kwork.ru/script-programming/44419653/chat-bot-telegram-whatsapp-bot-ii-chat-bot-avtovoronka-gpt,Teslatol,https://kwork.ru/user/teslatol,3000,5.0,148,
ai-bots,"Автоматизирую документооборот компании при помощи ИИ",https://kwork.ru/script-programming/45599056/avtomatiziruyu-dokumentooborot-kompanii-pri-pomoshchi-ii,Teslatol,https://kwork.ru/user/teslatol,1500,5.0,148,
ai-bots,"ИИ Бот-Юрист в Телеграм",https://kwork.ru/script-programming/47120271/ii-bot-yurist-v-telegram,P-Mikhail,https://kwork.ru/user/p-mikhail,25000,5.0,1,
ai-bots,"Telegram-бот, сайт для фото с nano banana 2 для заработка под ключ",https://kwork.ru/script-programming/47211704/telegram-bot-sayt-dlya-foto-s-nano-banana-2-dlya-zarabotka-pod-klyuch,anastasia_dev,https://kwork.ru/user/anastasia_dev,13000,5.0,76,
ai-bots,"AI agent нового поколения. Полностью оптимизированные под Вас",https://kwork.ru/script-programming/48715574/ai-agent-novogo-pokoleniya-polnostyu-optimizirovannie-pod-vas,NataliEgor,https://kwork.ru/user/nataliegor,35000,5.0,40,
