segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
chatbots,"Создание телеграм и MAX ботов",https://kwork.ru/script-programming/10973143/sozdanie-telegram-i-max-botov,axldev,https://kwork.ru/user/axldev,1500,5.0,382,
chatbots,"Чат-бот или автоворонка на Salebot",https://kwork.ru/script-programming/14050819/chat-bot-ili-avtovoronka-na-salebot,inozemny,https://kwork.ru/user/inozemny,8000,5.0,252,
chatbots,"Разработка Telegram бота",https://kwork.ru/script-programming/14133097/razrabotka-telegram-bota,Constantinesx,https://kwork.ru/user/constantinesx,1500,4.9,240,Выбор Kwork
chatbots,"Создание чат-бота для Telegram",https://kwork.ru/script-programming/20622865/sozdanie-chat-bota-dlya-telegram,sh3vajkeee,https://kwork.ru/user/sh3vajkeee,2000,5.0,164,
chatbots,"Телеграм бот на языке python",https://kwork.ru/script-programming/22750995/telegram-bot-na-yazyke-python,Ru_Developer,https://kwork.ru/user/ru_developer,1500,5.0,185,
chatbots,"Боты для Telegram и MAX любой сложности под ключ",https://kwork.ru/script-programming/23923121/boty-dlya-telegram-i-max-lyuboy-slozhnosti-pod-klyuch,FLADE_DIGITAL,https://kwork.ru/user/flade_digital,43000,5.0,195,Выбор Kwork
chatbots,"Бот в Telegram или MAX по вашему ТЗ + 1 МЕСЯЦ гарантии",https://kwork.ru/script-programming/28046343/bot-v-telegram-ili-max-po-vashemu-tz-1-mesyats-garantii,yaroslavkulikov,https://kwork.ru/user/yaroslavkulikov,7000,4.9,56,Выбор Kwork
chatbots,"Готовый бизнес-проект: кинотеатр в Телеграме",https://kwork.ru/script-programming/28794352/gotoviy-biznes-proekt-kinoteatr-v-telegrame,business_man_001,https://kwork.ru/user/business_man_001,10000,4.9,167,Выбор Kwork
chatbots,"Напишу Telegram бота",https://kwork.ru/script-programming/29072946/napishu-telegram-bota,asyncioso,https://kwork.ru/user/asyncioso,500,5.0,100,
chatbots,"Создам чат-бот в Телеграм, Вк, Max на Bothelp, Salebot, PuzzleBot",https://kwork.ru/script-programming/30128816/sozdam-chat-bot-v-telegram-vk-max-na-bothelp-salebot-puzzlebot,sitnikovmaxim,https://kwork.ru/user/sitnikovmaxim,2000,5.0,157,
chatbots,"Разработка Telegram-бота на Python",https://kwork.ru/script-programming/31175295/razrabotka-telegram-bota-na-python,PavloSG,https://kwork.ru/user/pavlosg,2500,5.0,125,
chatbots,"Разработка телеграм бота",https://kwork.ru/script-programming/32136318/razrabotka-telegram-bota,ivan_chernikov,https://kwork.ru/user/ivan_chernikov,1000,5.0,157,Выбор Kwork
chatbots,"Создам Telegram-бота на Python под ваши задачи",https://kwork.ru/script-programming/3743779/sozdam-telegram-bota-na-python-pod-vashi-zadachi,birzha76,https://kwork.ru/user/birzha76,3500,4.9,50,
chatbots,"Создам Telegram бота любой сложности под ключ",https://kwork.ru/script-programming/38395852/sozdam-telegram-bota-lyuboy-slozhnosti-pod-klyuch,devyan,https://kwork.ru/user/devyan,500,5.0,44,Выбор Kwork
chatbots,"Создам Телеграм бот",https://kwork.ru/script-programming/44215850/sozdam-telegram-bot,GROMOVENSKY,https://kwork.ru/user/gromovensky,2000,4.9,34,
chatbots,"Создание телеграм бота",https://kwork.ru/script-programming/45580017/sozdanie-telegram-bota,Beiseek,https://kwork.ru/user/beiseek,3000,5.0,48,Выбор Kwork
chatbots,"Разработка телеграм бота под ключ",https://kwork.ru/script-programming/46655433/razrabotka-telegram-bota-pod-klyuch,Beiseek,https://kwork.ru/user/beiseek,3000,5.0,48,Выбор Kwork
chatbots,"Разработка бота для ВК",https://kwork.ru/script-programming/46692400/razrabotka-bota-dlya-vk,KodeDeveloper,https://kwork.ru/user/kodedeveloper,7000,5.0,60,Выбор Kwork
chatbots,"Разработка телеграм бота + поддержка после сдачи",https://kwork.ru/script-programming/48659536/razrabotka-telegram-bota-podderzhka-posle-sdachi,fizCode,https://kwork.ru/user/fizcode,7000,4.3,28,Выбор Kwork
chatbots,"Создам телеграм бота",https://kwork.ru/script-programming/49599987/sozdam-telegram-bota,KodeDeveloper,https://kwork.ru/user/kodedeveloper,4000,5.0,60,
chatbots,"Создам Telegram и MAX бота под бизнес: логика, оплата, CRM, API",https://kwork.ru/script-programming/50021891/sozdam-telegram-i-max-bota-pod-biznes-logika-oplata-crm-api,rokoss21,https://kwork.ru/user/rokoss21,10000,5.0,83,Выбор Kwork
chatbots,"Разработка и создание простого бота для Телеграм, Макс, Вконтакте",https://kwork.ru/script-programming/52322469/razrabotka-i-sozdanie-prostogo-bota-dlya-telegram-maks-vkontakte,MONSTERSMM,https://kwork.ru/user/monstersmm,4000,5.0,1K+,Выбор Kwork
chatbots,"Разработка Telegram БОТА + исходники и поддержка",https://kwork.ru/script-programming/9665780/razrabotka-telegram-bota-iskhodniki-i-podderzhka,degen_digital,https://kwork.ru/user/degen_digital,7000,4.8,109,
