segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
custom-software,"Напишу приложение на C# с использованием БД",https://kwork.ru/software/11497053/napishu-prilozhenie-na-c-s-ispolzovaniem-bd,withmementomori,https://kwork.ru/user/withmementomori,3000,5.0,221,
custom-software,"Разработка БД SQL server, SQLite, MySQL",https://kwork.ru/software/11497218/razrabotka-bd-sql-server-sqlite-mysql,withmementomori,https://kwork.ru/user/withmementomori,1500,5.0,221,
custom-software,"Разработка программ на Delphi, Python, C++ и других языках",https://kwork.ru/software/12152251/razrabotka-programm-na-delphi-python-c-i-drugikh-yazykakh,ARafael,https://kwork.ru/user/arafael,500,5.0,528,
custom-software,"Разработаю C# приложение для Windows",https://kwork.ru/software/14838143/razrabotayu-c-prilozhenie-dlya-windows,vldblz,https://kwork.ru/user/vldblz,3000,5.0,230,
custom-software,"Разработка программ на Delphi",https://kwork.ru/software/15076064/razrabotka-programm-na-delphi,ARafael,https://kwork.ru/user/arafael,500,5.0,528,
custom-software,"Разработка базы данных MySQL, MsSQL, PostgreSQL",https://kwork.ru/software/17396501/razrabotka-bazy-dannykh-mysql-mssql-postgresql,sokolov-andrei2012,https://kwork.ru/user/sokolov-andrei2012,1000,5.0,142,
custom-software,"Напишу программу c# NET TS java script typescript, под windows",https://kwork.ru/software/21401190/napishu-programmu-c-net-ts-java-script-typescript-pod-windows,sauwork,https://kwork.ru/user/sauwork,5000,4.9,88,
custom-software,"Напишу программу под Windows",https://kwork.ru/software/243669/napishu-programmu-pod-windows,teleprog,https://kwork.ru/user/teleprog,1000,5.0,375,Выбор Kwork
custom-software,"Сделаю программу C#",https://kwork.ru/software/24653275/sdelayu-programmu-c,SergeiKoltsin,https://kwork.ru/user/sergeikoltsin,1000,4.5,39,Выбор Kwork
custom-software,"Программа для обработки этикеток для WB",https://kwork.ru/software/26632594/programma-dlya-obrabotki-etiketok-dlya-wb,TViktor,https://kwork.ru/user/tviktor,6000,5.0,16,
custom-software,"Программа под заказ с нуля на C++, Python, Qt, Qml",https://kwork.ru/software/28864639/programma-pod-zakaz-s-nulya-na-c-python-qt-qml,Efdefender,https://kwork.ru/user/efdefender,4500,4.8,26,
custom-software,"Создаю приложения на Python с использованием фреймворка Flet",https://kwork.ru/software/29384909/sozdayu-prilozheniya-na-python-s-ispolzovaniem-freymvorka-flet,Barhan_Coded,https://kwork.ru/user/barhan_coded,4500,4.7,31,Выбор Kwork
custom-software,"Софт для Эвотор",https://kwork.ru/software/33104687/soft-dlya-evotor,Ivan56RU,https://kwork.ru/user/ivan56ru,65000,5.0,3,
custom-software,"Разработка программ на Python",https://kwork.ru/software/34701237/razrabotka-programm-na-python,jogen,https://kwork.ru/user/jogen,500,5.0,42,Выбор Kwork
custom-software,"Конвертер ПДФ",https://kwork.ru/software/35343446/konverter-pdf,TViktor,https://kwork.ru/user/tviktor,6000,5.0,16,
custom-software,"Напишу программу под Windows",https://kwork.ru/software/35400326/napishu-programmu-pod-windows,bravo22,https://kwork.ru/user/bravo22,2500,5.0,44,
custom-software,"Разработка приложения на C# с использование базы данных",https://kwork.ru/software/41133455/razrabotka-prilozheniya-na-c-s-ispolzovanie-bazy-dannykh,nasdev,https://kwork.ru/user/nasdev,2000,4.6,44,
custom-software,"Написание программы для автоматизации задач",https://kwork.ru/software/45506031/napisanie-programmy-dlya-avtomatizatsii-zadach,petrovgrigorij,https://kwork.ru/user/petrovgrigorij,12000,4.7,14,
custom-software,"Разработка веб-приложения на C# с API + React",https://kwork.ru/software/47050516/razrabotka-veb-prilozheniya-na-c-s-api-react,nasdev,https://kwork.ru/user/nasdev,2000,4.6,44,Выбор Kwork
custom-software,"Windows l Автоматизация l Скрипты",https://kwork.ru/software/48090180/windows-l-avtomatizatsiya-l-skripty,Teiranes,https://kwork.ru/user/teiranes,1000,4.9,86,
custom-software,"Создам приложение в СУБД MS access",https://kwork.ru/software/5036700/sozdam-prilozhenie-v-subd-ms-access,tianin,https://kwork.ru/user/tianin,3000,5.0,93,
custom-software,"Разработка и внедрение Гугл таблицы",https://kwork.ru/software/5447802/razrabotka-i-vnedrenie-gugl-tablitsy,Lev_Andreevich,https://kwork.ru/user/lev_andreevich,5000,5.0,41,
custom-software,"Напишу программу для linux",https://kwork.ru/software/6090160/napishu-programmu-dlya-linux,totmos,https://kwork.ru/user/totmos,1500,5.0,20,
