segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
error-fixes,"Анализ PHP ошибки - бага на сайтах",https://kwork.ru/website-repair/13685878/analiz-php-oshibki-baga-na-saytakh,LEOnidUKG,https://kwork.ru/user/leonidukg,500,5.0,1K+,Выбор Kwork
error-fixes,"Восстановление работы вашего сайта на Wordpress",https://kwork.ru/website-repair/158198/vosstanovlenie-raboty-vashego-sayta-na-wordpress,nnevr,https://kwork.ru/user/nnevr,2000,5.0,2K+,
error-fixes,"Исправление проблем на сайте",https://kwork.ru/website-repair/161163/ispravlenie-problem-na-sayte,artemrav,https://kwork.ru/user/artemrav,1500,5.0,2K+,
error-fixes,"Исправлю работоспособность сайта на ВордПресс",https://kwork.ru/website-repair/174489/ispravlyu-rabotosposobnost-sayta-na-vordpress,Arseniy84,https://kwork.ru/user/arseniy84,1000,4.9,880,
error-fixes,"Исправление ошибок сайта на CMS WordPress",https://kwork.ru/website-repair/20370334/ispravlenie-oshibok-sayta-na-cms-wordpress,Artem3443,https://kwork.ru/user/artem3443,500,5.0,489,Выбор Kwork
error-fixes,"Исправление ошибок сайта",https://kwork.ru/website-repair/2368296/ispravlenie-oshibok-sayta,ROADROUT,https://kwork.ru/user/roadrout,1000,5.0,1K+,
error-fixes,"Обновление WordPress",https://kwork.ru/website-repair/26187259/obnovlenie-wordpress,Shod_web,https://kwork.ru/user/shod_web,6000,5.0,197,Выбор Kwork
error-fixes,"Проблемы по магазину на WooCommerce: РЕШУ. Настройки, доп. функционала",https://kwork.ru/website-repair/28946042/problemy-po-magazinu-na-woocommerce-reshu-nastroyki-dop-funktsionala,Yana9y,https://kwork.ru/user/yana9y,2000,4.8,114,
error-fixes,"Помощь с сайтом на движке MODX Revolution",https://kwork.ru/website-repair/29772879/pomoshch-s-saytom-na-dvizhke-modx-revolution,modx_master,https://kwork.ru/user/modx_master,1500,5.0,1K+,Выбор Kwork
error-fixes,"Ошибка 500 Wordpress",https://kwork.ru/website-repair/30955448/oshibka-500-wordpress,alexgah,https://kwork.ru/user/alexgah,1000,5.0,2K+,Выбор Kwork
error-fixes,"Исправление ошибок WordPress, восстановление работоспособности",https://kwork.ru/website-repair/32329017/ispravlenie-oshibok-wordpress-vosstanovlenie-rabotosposobnosti,XeqtR,https://kwork.ru/user/xeqtr,1500,5.0,438,Выбор Kwork
error-fixes,"Laravel - доработка и исправление ошибок",https://kwork.ru/website-repair/32527875/laravel-dorabotka-i-ispravlenie-oshibok,valishin1997,https://kwork.ru/user/valishin1997,1000,5.0,21,Выбор Kwork
error-fixes,"Исправлю ошибки на 1С Битрикс",https://kwork.ru/website-repair/337668/ispravlyu-oshibki-na-1s-bitriks,RunetLab,https://kwork.ru/user/runetlab,1500,5.0,393,Выбор Kwork
error-fixes,"Решение технических проблем с WordPress",https://kwork.ru/website-repair/37008458/reshenie-tekhnicheskikh-problem-s-wordpress,LEOnidUKG,https://kwork.ru/user/leonidukg,1000,5.0,1K+,
error-fixes,"Правка вашего сайта",https://kwork.ru/website-repair/38364000/pravka-vashego-sayta,Rostislav76,https://kwork.ru/user/rostislav76,2500,4.8,114,
error-fixes,"Решение проблем с сайтом на WordPress, ошибки, баги на сайте ВордПресс",https://kwork.ru/website-repair/39643360/reshenie-problem-s-saytom-na-wordpress-oshibki-bagi-na-sayte-vordpress,freax,https://kwork.ru/user/freax,1000,5.0,724,Выбор Kwork
error-fixes,"Решение проблем с сайтом на CMS Битрикс, ошибки, баги, на сайте Bitrix",https://kwork.ru/website-repair/39643874/reshenie-problem-s-saytom-na-cms-bitriks-oshibki-bagi-na-sayte-bitrix,freax,https://kwork.ru/user/freax,1000,5.0,724,Выбор Kwork
error-fixes,"WordPress, Битрикс, MODX, OpenCart: скорая помощь для ваших сайтов",https://kwork.ru/website-repair/40898/wordpress-bitriks-modx-opencart-skoraya-pomoshch-dlya-vashikh-saytov,wturm,https://kwork.ru/user/wturm,1500,5.0,7K+,
error-fixes,"Внесу правки по сайту, исправлю ошибки на CMS Битрикс",https://kwork.ru/website-repair/444744/vnesu-pravki-po-saytu-ispravlyu-oshibki-na-cms-bitriks,ash404,https://kwork.ru/user/ash404,500,4.9,163,
error-fixes,"Редактирование html сайта",https://kwork.ru/website-repair/449031/redaktirovanie-html-sayta,Dosto,https://kwork.ru/user/dosto,1000,5.0,1K+,Выбор Kwork
error-fixes,"Помощь с сайтом на WordPress",https://kwork.ru/website-repair/45791027/pomoshch-s-saytom-na-wordpress,webbypro,https://kwork.ru/user/webbypro,1000,5.0,368,Выбор Kwork
error-fixes,"Восстановлю сайт - устраню причины сбоев и падений",https://kwork.ru/website-repair/50133124/vosstanovlyu-sayt-ustranyu-prichiny-sboev-i-padeniy,rokoss21,https://kwork.ru/user/rokoss21,5000,5.0,83,Выбор Kwork
error-fixes,"Исправление ошибок валидации, W3C Validator, валидатор W3C",https://kwork.ru/website-repair/6232504/ispravlenie-oshibok-validatsii-w3c-validator-validator-w3c,quattrovod,https://kwork.ru/user/quattrovod,500,5.0,2K+,
