segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
frontend-fixes,"Доработка сайта на Tilda",https://kwork.ru/frontend/1016040/dorabotka-sayta-na-tilda,1Webmaster,https://kwork.ru/user/1webmaster,4500,5.0,40,
frontend-fixes,"Адаптация сайта под мобильные устройства",https://kwork.ru/frontend/1182/adaptatsiya-sayta-pod-mobilnie-ustroystva,theInt,https://kwork.ru/user/theint,5000,5.0,2K+,
frontend-fixes,"Адаптивная верстка email-письма для рассылки",https://kwork.ru/frontend/140928/adaptivnaya-verstka-email-pisma-dlya-rassylki,kristy007,https://kwork.ru/user/kristy007,5000,5.0,79,
frontend-fixes,"Корректировка верстки шаблонов и адаптации под мобильные устройства",https://kwork.ru/frontend/1613/korrektirovka-verstki-shablonov-i-adaptatsii-pod-mobilnie-ustroystva,theInt,https://kwork.ru/user/theint,1000,5.0,2K+,
frontend-fixes,"Исправлю ошибки html, css Validator на WordPress",https://kwork.ru/frontend/1639820/ispravlyu-oshibki-html-css-validator-na-wordpress,macver,https://kwork.ru/user/macver,1500,5.0,201,
frontend-fixes,"Интеграция верстки на 1С-Битрикс",https://kwork.ru/frontend/18486597/integratsiya-verstki-na-1s-bitriks,Vaskevich_Dev,https://kwork.ru/user/vaskevich_dev,2500,5.0,885,
frontend-fixes,"Внесение правок на сайт с HTML и CSS, React JS. Верстка. Фронтенд",https://kwork.ru/frontend/1932517/vnesenie-pravok-na-sayt-s-html-i-css-react-js-verstka-frontend,Ashot08,https://kwork.ru/user/ashot08,2000,4.9,164,
frontend-fixes,"Доработка верстки DLE",https://kwork.ru/frontend/22179263/dorabotka-verstki-dle,stillmaster,https://kwork.ru/user/stillmaster,1000,5.0,151,
frontend-fixes,"Разработка темы для Wordpress",https://kwork.ru/frontend/2263978/razrabotka-temy-dlya-wordpress,mihail_kostikov_work,https://kwork.ru/user/mihail_kostikov_work,20000,5.0,124,
frontend-fixes,"Исправление или доработка верстки вашего сайта",https://kwork.ru/frontend/326815/ispravlenie-ili-dorabotka-verstki-vashego-sayta,scandisoul,https://kwork.ru/user/scandisoul,500,4.9,90,
frontend-fixes,"Доработка, исправление веб-сайта",https://kwork.ru/frontend/33356696/dorabotka-ispravlenie-veb-sayta,kl4yness,https://kwork.ru/user/kl4yness,1000,4.9,183,
frontend-fixes,"Посадка сайта на CMS WordPress",https://kwork.ru/frontend/35280138/posadka-sayta-na-cms-wordpress,EldorWeb,https://kwork.ru/user/eldorweb,1000,5.0,276,Выбор Kwork
frontend-fixes,"Доработка и адаптация верстки сайта, HTML, CSS и JS",https://kwork.ru/frontend/36160918/dorabotka-i-adaptatsiya-verstki-sayta-html-css-i-js,dirakt0,https://kwork.ru/user/dirakt0,500,4.9,186,
frontend-fixes,"Доработка и правки верстки элемента Modx, Wordpress, Bitrix, Opencart",https://kwork.ru/frontend/38162702/dorabotka-i-pravki-verstki-elementa-modx-wordpress-bitrix-opencart,caof19,https://kwork.ru/user/caof19,1000,5.0,57,Выбор Kwork
frontend-fixes,"Исправление верстки на сайте",https://kwork.ru/frontend/3868567/ispravlenie-verstki-na-sayte,Alxndrr,https://kwork.ru/user/alxndrr,500,5.0,944,
frontend-fixes,"Доработка верстки и адаптация под мобильные устройства",https://kwork.ru/frontend/390676/dorabotka-verstki-i-adaptatsiya-pod-mobilnie-ustroystva,artemrav,https://kwork.ru/user/artemrav,1500,5.0,2K+,
frontend-fixes,"Исправление верстки",https://kwork.ru/frontend/39931421/ispravlenie-verstki,Fech_DM,https://kwork.ru/user/fech_dm,1000,5.0,45,Выбор Kwork
frontend-fixes,"Доработка и адаптация верстки сайта",https://kwork.ru/frontend/46808596/dorabotka-i-adaptatsiya-verstki-sayta,CodeByAsadbek,https://kwork.ru/user/codebyasadbek,500,5.0,54,Выбор Kwork
frontend-fixes,"Доработка и адаптация верстки сайта",https://kwork.ru/frontend/47080494/dorabotka-i-adaptatsiya-verstki-sayta,Sadulla_xolmat,https://kwork.ru/user/sadulla_xolmat,500,4.9,60,Выбор Kwork
frontend-fixes,"Поправлю верстку на любом шаблоне inSales",https://kwork.ru/frontend/47914/popravlyu-verstku-na-lyubom-shablone-insales,masterkard04,https://kwork.ru/user/masterkard04,1000,4.9,299,
frontend-fixes,"Адаптивная верстка HTML письма для e-mail рассылок",https://kwork.ru/frontend/733595/adaptivnaya-verstka-html-pisma-dlya-e-mail-rassylok,kristy007,https://kwork.ru/user/kristy007,4000,5.0,79,
frontend-fixes,"Адаптация сайта под все разрешения экранов и мобильные устройства",https://kwork.ru/frontend/8157/adaptatsiya-sayta-pod-vse-razresheniya-ekranov-i-mobilnie-ustroystva,mihailSB,https://kwork.ru/user/mihailsb,2000,5.0,464,
frontend-fixes,"Исправление ошибок",https://kwork.ru/frontend/8284601/ispravlenie-oshibok,artemrav,https://kwork.ru/user/artemrav,1500,5.0,2K+,
