segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
it-help,"Консультация по Chat gpt plus . Chat GPT 5, Dalle 3, sora. Чат жпт 5",https://kwork.ru/usability-testing/26189335/konsultatsiya-po-chat-gpt-plus-chat-gpt-5-dalle-3-sora-chat-zhpt-5,dmitapay,https://kwork.ru/user/dmitapay,3500,5.0,488,Выбор Kwork
it-help,"Настройка и установка ЭЦП на ОС mac os и windows",https://kwork.ru/usability-testing/15698173/nastroyka-i-ustanovka-etsp-na-os-mac-os-i-windows,Oleg0554,https://kwork.ru/user/oleg0554,500,5.0,157,Выбор Kwork
it-help,"Настрою рабочее место на электронных площадках и в ЕИС zakupki.gov",https://kwork.ru/usability-testing/23444750/nastroyu-rabochee-mesto-na-elektronnykh-ploshchadkakh-i-v-eis-zakupki-gov,MarijaSiskina,https://kwork.ru/user/marijasiskina,500,5.0,31,Выбор Kwork
it-help,"Установка Microsoft Office. Переустановка Word, Excel, PowerPoint",https://kwork.ru/usability-testing/29970056/ustanovka-microsoft-office-pereustanovka-word-excel-powerpoint,Vyacheslav_X,https://kwork.ru/user/vyacheslav_x,1000,5.0,528,
it-help,"Установка Mailwizz",https://kwork.ru/usability-testing/223765/ustanovka-mailwizz,seotraff,https://kwork.ru/user/seotraff,500,4.9,1K+,
it-help,"Удаленная установка программ на ПК",https://kwork.ru/usability-testing/25144060/udalennaya-ustanovka-programm-na-pk,exOnseLs,https://kwork.ru/user/exonsels,500,5.0,518,Выбор Kwork
it-help,"Установка и настройка ЭЦП",https://kwork.ru/usability-testing/16361369/ustanovka-i-nastroyka-etsp,MarijaSiskina,https://kwork.ru/user/marijasiskina,500,5.0,31,Выбор Kwork
it-help,"Консультации по работе с 1С УНФ: настройка, внедрение, сопровождение",https://kwork.ru/usability-testing/1042563/konsultatsii-po-rabote-s-1s-unf-nastroyka-vnedrenie-soprovozhdenie,MihailG,https://kwork.ru/user/mihailg,2500,5.0,86,
it-help,"Консультация по Amo Crm",https://kwork.ru/usability-testing/22114631/konsultatsiya-po-amo-crm,PavTi_,https://kwork.ru/user/pavti_,1000,5.0,242,
it-help,"Настройка и оптимизация вашего компьютера удалённо",https://kwork.ru/usability-testing/194553/nastroyka-i-optimizatsiya-vashego-kompyutera-udalyonno,cyberkot,https://kwork.ru/user/cyberkot,1000,4.8,384,
it-help,"Настрою рабочее место на электронных площадках и в ЕИС zakupki.gov",https://kwork.ru/usability-testing/613641/nastroyu-rabochee-mesto-na-elektronnykh-ploshchadkakh-i-v-eis-zakupki-gov,Evgen05,https://kwork.ru/user/evgen05,1000,5.0,1K+,Выбор Kwork
