segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
office-automation,"Макросы на VBA для Excel",https://kwork.ru/software/10132222/makrosy-na-vba-dlya-excel,mvw0067,https://kwork.ru/user/mvw0067,500,5.0,798,Выбор Kwork
office-automation,"Напишу макрос для Эксель на VBA",https://kwork.ru/software/10300139/napishu-makros-dlya-eksel-na-vba,VitalyM,https://kwork.ru/user/vitalym,500,5.0,417,
office-automation,"Напишу скрипт под Excel",https://kwork.ru/software/109808/napishu-skript-pod-excel,Maximusu,https://kwork.ru/user/maximusu,500,5.0,739,
office-automation,"Создание и настройка Google таблиц",https://kwork.ru/software/14733816/sozdanie-i-nastroyka-google-tablits,ThePossef,https://kwork.ru/user/thepossef,500,5.0,19,
office-automation,"Создание БД на ms Access с удаленным подключением",https://kwork.ru/software/1555405/sozdanie-bd-na-ms-access-s-udalennym-podklyucheniem,ZeroWEB,https://kwork.ru/user/zeroweb,6000,5.0,60,
office-automation,"VBA excel, макросы на любой вкус",https://kwork.ru/software/15855093/vba-excel-makrosy-na-lyuboy-vkus,Nobelland,https://kwork.ru/user/nobelland,1000,5.0,57,Выбор Kwork
office-automation,"Напишу макрос, работа с excel любой сложности по ТЗ",https://kwork.ru/software/16062938/napishu-makros-rabota-s-excel-lyuboy-slozhnosti-po-tz,agPapinov,https://kwork.ru/user/agpapinov,1000,4.7,69,
office-automation,"Помощь с формулой Excel, сводной таблицей Эксель или макросом на VBA",https://kwork.ru/software/16675691/pomoshch-s-formuloy-excel-svodnoy-tablitsey-eksel-ili-makrosom-na-vba,Kondr48,https://kwork.ru/user/kondr48,1000,5.0,470,Выбор Kwork
office-automation,"Макрос VBA в Excel",https://kwork.ru/software/186352/makros-vba-v-excel,Navi_droid,https://kwork.ru/user/navi_droid,500,5.0,950,Выбор Kwork
office-automation,"Создам макрос",https://kwork.ru/software/19550007/sozdam-makros,ExcelProst,https://kwork.ru/user/excelprost,1500,5.0,131,
office-automation,"Макросы в Excel. Автоматизация отчетности",https://kwork.ru/software/21874389/makrosy-v-excel-avtomatizatsiya-otchetnosti,Alex-Ustas,https://kwork.ru/user/alex-ustas,2000,5.0,79,Выбор Kwork
office-automation,"Помощь с формулами в Google Sheets, Гугл-таблицах",https://kwork.ru/software/23028547/pomoshch-s-formulami-v-google-sheets-gugl-tablitsakh,Kondr48,https://kwork.ru/user/kondr48,1000,5.0,470,Выбор Kwork
office-automation,"Программы и макросы MS Excel на заказ",https://kwork.ru/software/230658/programmy-i-makrosy-ms-excel-na-zakaz,mike_b,https://kwork.ru/user/mike_b,500,5.0,179,
office-automation,"Напишу макрос на VBA для Excel. Автоматизация таблиц Эксель",https://kwork.ru/software/24767395/napishu-makros-na-vba-dlya-excel-avtomatizatsiya-tablits-eksel,zmiterp,https://kwork.ru/user/zmiterp,500,4.9,332,
office-automation,"Скрипт, макрос или автоматизация для MS Excel",https://kwork.ru/software/24813994/skript-makros-ili-avtomatizatsiya-dlya-ms-excel,Kilostop,https://kwork.ru/user/kilostop,1000,5.0,89,Выбор Kwork
office-automation,"Макрос для Excel",https://kwork.ru/software/25841617/makros-dlya-excel,pavelmoc,https://kwork.ru/user/pavelmoc,500,5.0,30,
office-automation,"Помощь с формулами Excel, таблицей Эксель, макросом, анализ данных",https://kwork.ru/software/27210642/pomoshch-s-formulami-excel-tablitsey-eksel-makrosom-analiz-dannykh,Vladimir_Excel,https://kwork.ru/user/vladimir_excel,500,4.7,27,
office-automation,"Автоматизация данных в Excel через макрос VBA",https://kwork.ru/software/30590721/avtomatizatsiya-dannykh-v-excel-cherez-makros-vba,Tomash100,https://kwork.ru/user/tomash100,500,4.9,48,
office-automation,"Помощь с формулами в Google Sheets, Гугл-таблицах",https://kwork.ru/software/32404384/pomoshch-s-formulami-v-google-sheets-gugl-tablitsakh,Optimization_Excel,https://kwork.ru/user/optimization_excel,1500,5.0,126,Выбор Kwork
office-automation,"Макрос импорта с сайта в Excel",https://kwork.ru/software/3801394/makros-importa-s-sayta-v-excel,Navi_droid,https://kwork.ru/user/navi_droid,1000,5.0,950,
office-automation,"Починка, ремонт, изменение существующих макросов VBA",https://kwork.ru/software/41495205/pochinka-remont-izmenenie-sushchestvuyushchikh-makrosov-vba,dubaevaa,https://kwork.ru/user/dubaevaa,1500,5.0,18,Выбор Kwork
office-automation,"Автоматизация обработки PDF",https://kwork.ru/software/42924738/avtomatizatsiya-obrabotki-pdf,alex11110001,https://kwork.ru/user/alex11110001,1000,5.0,112,
office-automation,"Макросы VBA для Excel, автоматизация рутинных задач под ключ",https://kwork.ru/software/820247/makrosy-vba-dlya-excel-avtomatizatsiya-rutinnykh-zadach-pod-klyuch,irbistolik,https://kwork.ru/user/irbistolik,2500,4.6,39,
office-automation,"Разработка приложения ms Access любой сложности и функционалом",https://kwork.ru/software/919999/razrabotka-prilozheniya-ms-access-lyuboy-slozhnosti-i-funktsionalom,ZeroWEB,https://kwork.ru/user/zeroweb,8000,5.0,60,
