segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
plugins-themes,"WoodMart 8.x - помогу установить и настроить тему",https://kwork.ru/website-repair/1021316/woodmart-8-x-pomogu-ustanovit-i-nastroit-temu,Dimella,https://kwork.ru/user/dimella,1000,5.0,448,
plugins-themes,"Установка шаблона на Opencart 3.x или ocStore 3.x",https://kwork.ru/website-repair/13807595/ustanovka-shablona-na-opencart-3-kh-ili-ocstore-3-kh,Ekleo,https://kwork.ru/user/ekleo,1000,5.0,596,
plugins-themes,"Установлю и настрою любой шаблон Opencart и OcStore",https://kwork.ru/website-repair/139640/ustanovlyu-i-nastroyu-lyuboy-shablon-opencart-i-ocstore,webshop-dev,https://kwork.ru/user/webshop-dev,1500,5.0,1K+,
plugins-themes,"Установлю премиум онлайн чат, консультант на сайт без абон платы",https://kwork.ru/website-repair/15548675/ustanovlyu-premium-onlayn-chat-konsultant-na-sayt-bez-abon-platy,Evgen260509,https://kwork.ru/user/evgen260509,1000,5.0,542,
plugins-themes,"WoodMart 2026 с установкой - шаблон для интернет-магазина на WordPress",https://kwork.ru/website-repair/17931388/woodmart-2026-s-ustanovkoy-shablon-dlya-internet-magazina-na-wordpress,wporgru,https://kwork.ru/user/wporgru,3000,4.9,370,
plugins-themes,"Разработка плагина для WordPress",https://kwork.ru/website-repair/1832151/razrabotka-plagina-dlya-wordpress,mihail_kostikov_work,https://kwork.ru/user/mihail_kostikov_work,10000,5.0,124,
plugins-themes,"Настройка модуля Simplepars для парсинга и импорта товаров opencart",https://kwork.ru/website-repair/18429433/nastroyka-modulya-simplepars-dlya-parsinga-i-importa-tovarov-opencart,DyadyaOleg777,https://kwork.ru/user/dyadyaoleg777,2000,5.0,314,
plugins-themes,"СДЭК доставка для Opencart - установка, настройка",https://kwork.ru/website-repair/20248696/sdek-dostavka-dlya-opencart-ustanovka-nastroyka,Profi-Sait,https://kwork.ru/user/profi-sait,3500,5.0,286,
plugins-themes,"Установлю модуль импорта экспорта товаров CSV Price Pro для Opencart",https://kwork.ru/website-repair/24573900/ustanovlyu-modul-importa-eksporta-tovarov-csv-price-pro-dlya-opencart,Adamcknight,https://kwork.ru/user/adamcknight,500,5.0,1K+,
plugins-themes,"Установка модулей на CMS Opencart, OcStore",https://kwork.ru/website-repair/2480560/ustanovka-moduley-na-cms-opencart-ocstore,Opencart-master,https://kwork.ru/user/opencart-master,500,5.0,1K+,
plugins-themes,"Наполню товарами интернет-магазин на WordPress WooCommerce",https://kwork.ru/website-repair/248394/napolnyu-tovarami-internet-magazin-na-wordpress-woocommerce,wporgru,https://kwork.ru/user/wporgru,5000,4.9,370,
plugins-themes,"Установка плагина Elementor Pro с обновлениями и русским переводом",https://kwork.ru/website-repair/26234498/ustanovka-plagina-elementor-pro-s-obnovleniyami-i-russkim-perevodom,EmOne,https://kwork.ru/user/emone,1000,5.0,3K+,Выбор Kwork
plugins-themes,"Настройка формы обратной связи landing page, html сайта",https://kwork.ru/website-repair/266322/nastroyka-formy-obratnoy-svyazi-landing-page-html-sayta,Dosto,https://kwork.ru/user/dosto,500,5.0,1K+,
plugins-themes,"Установка плагинов для оптимизации скорости сайта",https://kwork.ru/website-repair/28578406/ustanovka-plaginov-dlya-optimizatsii-skorosti-sayta,EmOne,https://kwork.ru/user/emone,500,5.0,3K+,Выбор Kwork
plugins-themes,"Установка и настройка темы WordPress. Подбор шаблона",https://kwork.ru/website-repair/2878171/ustanovka-i-nastroyka-temy-wordpress-podbor-shablona,Julie_1,https://kwork.ru/user/julie_1,3000,4.9,98,
plugins-themes,"Wordpress Плагины, модули и темы",https://kwork.ru/website-repair/328522/wordpress-plaginy-moduli-i-temy,Nikvz,https://kwork.ru/user/nikvz,1500,4.9,178,
plugins-themes,"Установка модуля Opencart",https://kwork.ru/website-repair/393878/ustanovka-modulya-opencart,webshop-dev,https://kwork.ru/user/webshop-dev,1000,5.0,1K+,
plugins-themes,"Модуль парсинга товаров в интернет-магазин на Opencart и OcStore",https://kwork.ru/website-repair/4453037/modul-parsinga-tovarov-v-internet-magazin-na-opencart-i-ocstore,DyadyaOleg777,https://kwork.ru/user/dyadyaoleg777,6000,5.0,314,
plugins-themes,"Настройка темы на Webasyst Shop-Script",https://kwork.ru/website-repair/8482589/nastroyka-temy-na-webasyst-shop-script,elenakw,https://kwork.ru/user/elenakw,15000,5.0,151,
plugins-themes,"Настрою модуль SimplePars - парсинг и импорт товара в Opencart",https://kwork.ru/website-repair/8838709/nastroyu-modul-simplepars-parsing-i-import-tovara-v-opencart,MasterJON,https://kwork.ru/user/masterjon,5000,5.0,103,
plugins-themes,"Установка плагина Elementor Pro на русском с обновлениями",https://kwork.ru/website-repair/9415385/ustanovka-plagina-elementor-pro-na-russkom-s-obnovleniyami,Sergei_Dugin,https://kwork.ru/user/sergei_dugin,1000,5.0,1K+,Выбор Kwork
plugins-themes,"Генерация YML-файла для Яндекс Маркет на сайте MODX",https://kwork.ru/website-repair/9492553/generatsiya-yml-fayla-dlya-yandeks-market-na-sayte-modx,modx_master,https://kwork.ru/user/modx_master,3000,5.0,1K+,
