segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
server-admin,"Настройка сервера windows",https://kwork.ru/server-administration/104994/nastroyka-servera-windows,itspec,https://kwork.ru/user/itspec,2500,4.8,146,
server-admin,"Установка и настройка ISPmanager на VDS, VPS или Dedicated",https://kwork.ru/server-administration/11011300/ustanovka-i-nastroyka-ispmanager-na-vds-vps-ili-dedicated,LEOnidUKG,https://kwork.ru/user/leonidukg,1500,5.0,1K+,
server-admin,"Оптимизация, настройка и администрирование VPS и физических серверов",https://kwork.ru/server-administration/14249463/optimizatsiya-nastroyka-i-administrirovanie-vps-i-fizicheskikh-serverov,ITaskPro,https://kwork.ru/user/itaskpro,500,5.0,321,Выбор Kwork
server-admin,"Django установка и настройка на сервере",https://kwork.ru/server-administration/15592941/django-ustanovka-i-nastroyka-na-servere,djangoworker,https://kwork.ru/user/djangoworker,1500,4.8,101,
server-admin,"Установка панели управления BrainyCP",https://kwork.ru/server-administration/16044722/ustanovka-paneli-upravleniya-brainycp,antibot24,https://kwork.ru/user/antibot24,2000,5.0,709,
server-admin,"Установка Windows Server 2012-2022 на Hetzner",https://kwork.ru/server-administration/17182947/ustanovka-windows-server-2012-2022-na-hetzner,someone,https://kwork.ru/user/someone,500,5.0,459,
server-admin,"Подниму MTProto SOCKS5 HTTPS прокси для Telegram и иных задач",https://kwork.ru/server-administration/1936971/podnimu-mtproto-socks5-https-proksi-dlya-telegram-i-inykh-zadach,anchous,https://kwork.ru/user/anchous,500,4.9,186,
server-admin,"Настройка и оптимизация Mysql, MariaDB",https://kwork.ru/server-administration/25380259/nastroyka-i-optimizatsiya-mysql-mariadb,gev511,https://kwork.ru/user/gev511,4000,5.0,86,
server-admin,"Почтовый сервер SMTP, IMAP для домена на VPS, VDS",https://kwork.ru/server-administration/26720490/pochtoviy-server-smtp-imap-dlya-domena-na-vps-vds,sershil_rus,https://kwork.ru/user/sershil_rus,2000,5.0,363,
server-admin,"Настрою сервер Matrix Element личный и корпоративный мессенджер",https://kwork.ru/server-administration/28484905/nastroyu-server-matrix-element-lichniy-i-korporativniy-messendzher,wdwp,https://kwork.ru/user/wdwp,2000,5.0,242,
server-admin,"Настройка Linux сервера",https://kwork.ru/server-administration/28677230/nastroyka-linux-servera,Constantinesx,https://kwork.ru/user/constantinesx,2000,4.9,240,
server-admin,"Установка Windows на выделенный сервер в Hetzner + RDP",https://kwork.ru/server-administration/29935706/ustanovka-windows-na-vydelenniy-server-v-hetzner-rdp,anchous,https://kwork.ru/user/anchous,500,4.9,186,
server-admin,"Комплексная диагностика сервера asterisk",https://kwork.ru/server-administration/31242698/kompleksnaya-diagnostika-servera-asterisk,2frame,https://kwork.ru/user/2frame,1000,5.0,92,
server-admin,"Установлю и настрою панель управления сервером",https://kwork.ru/server-administration/332570/ustanovlyu-i-nastroyu-panel-upravleniya-serverom,Tanker,https://kwork.ru/user/tanker,1500,5.0,477,
server-admin,"Настройка VPS на максимальную производительность",https://kwork.ru/server-administration/35754179/nastroyka-vps-na-maksimalnuyu-proizvoditelnost,evgenisavchenko1968,https://kwork.ru/user/evgenisavchenko1968,4000,4.9,47,
server-admin,"Настрою безопасный мессенджер Matrix с шифрованием",https://kwork.ru/server-administration/36231219/nastroyu-bezopasniy-messendzher-matrix-s-shifrovaniem,Tanker,https://kwork.ru/user/tanker,3500,5.0,477,
server-admin,"Корпоративный мессенджер Matrix под ключ на вашем сервере",https://kwork.ru/server-administration/38230953/korporativniy-messendzher-matrix-pod-klyuch-na-vashem-servere,HeavY_MT,https://kwork.ru/user/heavy_mt,4000,5.0,129,
server-admin,"Решение технических проблем с Linux веб-сервером VDS, VPS, Dedicated",https://kwork.ru/server-administration/40356319/reshenie-tekhnicheskikh-problem-s-linux-veb-serverom-vds-vps-dedicated,LEOnidUKG,https://kwork.ru/user/leonidukg,1000,5.0,1K+,Выбор Kwork
server-admin,"Настройка VPS, VDS сервера на Linux",https://kwork.ru/server-administration/429939/nastroyka-vps-vds-servera-na-linux,alexwebdev_pro,https://kwork.ru/user/alexwebdev_pro,1000,5.0,1K+,
server-admin,"Администрирование серверов, VPS, VDS Linux",https://kwork.ru/server-administration/5976601/administrirovanie-serverov-vps-vds-linux,olemalru,https://kwork.ru/user/olemalru,500,5.0,114,
server-admin,"Настройка и оптимизация WEB сервера",https://kwork.ru/server-administration/79669/nastroyka-i-optimizatsiya-web-servera,gev511,https://kwork.ru/user/gev511,6000,5.0,86,
server-admin,"Настрою защиту сервера на OS Linux",https://kwork.ru/server-administration/9524/nastroyu-zashchitu-servera-na-os-linux,wdwp,https://kwork.ru/user/wdwp,3000,5.0,242,
server-admin,"Настройка Windows Server",https://kwork.ru/server-administration/985505/nastroyka-windows-server,someone,https://kwork.ru/user/someone,1000,5.0,459,
