segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
site-setup,"Обновление сайта MODX до актуальной версии",https://kwork.ru/website-repair/10846979/obnovlenie-sayta-modx-do-aktualnoy-versii,modx_master,https://kwork.ru/user/modx_master,2500,5.0,1K+,
site-setup,"Настройка сайта на ucoz",https://kwork.ru/website-repair/142881/nastroyka-sayta-na-ucoz,uStudio,https://kwork.ru/user/ustudio,500,5.0,151,Выбор Kwork
site-setup,"Настройка сайта на Wordpress, техническое обслуживание",https://kwork.ru/website-repair/15034824/nastroyka-sayta-na-wordpress-tekhnicheskoe-obsluzhivanie,XeqtR,https://kwork.ru/user/xeqtr,1500,5.0,438,Выбор Kwork
site-setup,"Восстановление сайта из Вебархива - Web.archive.org без потерь",https://kwork.ru/website-repair/15303377/vosstanovlenie-sayta-iz-vebarkhiva-web-archive-org-bez-poter,Ruwbmstr,https://kwork.ru/user/ruwbmstr,2500,5.0,111,
site-setup,"Восстановление сайта из вебархива на Вордпресс - web.archive.org",https://kwork.ru/website-repair/1544362/vosstanovlenie-sayta-iz-vebarkhiva-na-vordpress-web-archive-org,KseniaMayak,https://kwork.ru/user/kseniamayak,1500,5.0,190,Выбор Kwork
site-setup,"Настройка форм Landing Page для отправки почты с сайта",https://kwork.ru/website-repair/161461/nastroyka-form-landing-page-dlya-otpravki-pochty-s-sayta,copylend,https://kwork.ru/user/copylend,500,5.0,2K+,
site-setup,"Настройка и доработка WordPress",https://kwork.ru/website-repair/161594/nastroyka-i-dorabotka-wordpress,artemrav,https://kwork.ru/user/artemrav,1500,5.0,2K+,Выбор Kwork
site-setup,"Восстановлю сайт даже в очень сложных случаях",https://kwork.ru/website-repair/1834/vosstanovlyu-sayt-dazhe-v-ochen-slozhnykh-sluchayakh,mobilekid,https://kwork.ru/user/mobilekid,10000,4.8,485,
site-setup,"Настройка вашего сайта на MODX",https://kwork.ru/website-repair/2195867/nastroyka-vashego-sayta-na-modx,3fan,https://kwork.ru/user/3fan,2500,5.0,114,Выбор Kwork
site-setup,"Помощь с интернет-магазином Webasyst Shop-Script",https://kwork.ru/website-repair/226267/pomoshch-s-internet-magazinom-webasyst-shop-script,lexmuse,https://kwork.ru/user/lexmuse,1000,4.8,67,
site-setup,"Настройка сайта на 1С Битрикс",https://kwork.ru/website-repair/23246291/nastroyka-sayta-na-1s-bitriks,Vaskevich_Dev,https://kwork.ru/user/vaskevich_dev,1000,5.0,885,Выбор Kwork
site-setup,"Корректировка, правка сайта на CMS Wordpress",https://kwork.ru/website-repair/23287883/korrektirovka-pravka-sayta-na-cms-wordpress,JOID,https://kwork.ru/user/joid,2000,5.0,232,Выбор Kwork
site-setup,"Обновление PHP 8+ для 1С Битрикс",https://kwork.ru/website-repair/24111637/obnovlenie-php-8-dlya-1s-bitriks,Vaskevich_Dev,https://kwork.ru/user/vaskevich_dev,24000,5.0,885,
site-setup,"Настройка формы обратной связи для сайта, любой CMS",https://kwork.ru/website-repair/24365504/nastroyka-formy-obratnoy-svyazi-dlya-sayta-lyuboy-cms,b-nikolay,https://kwork.ru/user/b-nikolay,500,5.0,161,
site-setup,"Установка настройка opencart wordpress",https://kwork.ru/website-repair/26291883/ustanovka-nastroyka-opencart-wordpress,Evgen260509,https://kwork.ru/user/evgen260509,1000,5.0,542,
site-setup,"Обновление CMS Bitrix Битрикс на PHP 8",https://kwork.ru/website-repair/26456573/obnovlenie-cms-bitrix-bitriks-na-php-8,freax,https://kwork.ru/user/freax,4000,5.0,724,Выбор Kwork
site-setup,"Переезд сайта на новый домен или хостинг и VDS",https://kwork.ru/website-repair/27764790/pereezd-sayta-na-noviy-domen-ili-khosting-i-vds,LEOnidUKG,https://kwork.ru/user/leonidukg,1500,5.0,1K+,
site-setup,"Обновление 1С Битрикс, перевод на php 8",https://kwork.ru/website-repair/29627904/obnovlenie-1s-bitriks-perevod-na-php-8,max_volkov,https://kwork.ru/user/max_volkov,4500,5.0,938,
site-setup,"WordPress - настройка, установка, правки CSS и JS",https://kwork.ru/website-repair/31158330/wordpress-nastroyka-ustanovka-pravki-css-i-js,Red_dev,https://kwork.ru/user/red_dev,1000,5.0,410,Выбор Kwork
site-setup,"Настройка отправки email через SMTP на WordPress",https://kwork.ru/website-repair/34579201/nastroyka-otpravki-email-cherez-smtp-na-wordpress,webbypro,https://kwork.ru/user/webbypro,500,5.0,368,
site-setup,"Обновление 1С Битрикс с переходом на php 8",https://kwork.ru/website-repair/36437205/obnovlenie-1s-bitriks-s-perekhodom-na-php-8,quattrovod,https://kwork.ru/user/quattrovod,7000,5.0,2K+,Выбор Kwork
site-setup,"Помогу настроить веб-сайт на WordPress",https://kwork.ru/website-repair/45587756/pomogu-nastroit-veb-sayt-na-wordpress,webbypro,https://kwork.ru/user/webbypro,2000,5.0,368,Выбор Kwork
site-setup,"Настройка сайта на CMS 1С Битрикс",https://kwork.ru/website-repair/5497578/nastroyka-sayta-na-cms-1s-bitriks,olemalru,https://kwork.ru/user/olemalru,500,5.0,114,
site-setup,"Профессиональная поддержка вашего сайта на WordPress, 10+ лет опыта",https://kwork.ru/website-repair/5977823/professionalnaya-podderzhka-vashego-sayta-na-wordpress-10-let-opyta,afandrew,https://kwork.ru/user/afandrew,11000,5.0,18,
