segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
site-speed,"Ускорение сайта на 1С Битрикс - Google Pagespeed Insights, Page speed",https://kwork.ru/website-repair/10361979/uskorenie-sayta-na-1s-bitriks-google-pagespeed-insights-page-speed,quattrovod,https://kwork.ru/user/quattrovod,4500,5.0,2K+,Выбор Kwork
site-speed,"Турбо страницы для контентных сайтов",https://kwork.ru/website-repair/10386381/turbo-stranitsy-dlya-kontentnykh-saytov,wordpress2008,https://kwork.ru/user/wordpress2008,1500,5.0,1K+,
site-speed,"Настройка, оптимизация, ускорение Webasyst сайта и магазина",https://kwork.ru/website-repair/11736391/nastroyka-optimizatsiya-uskorenie-webasyst-sayta-i-magazina,ObscureBobcat,https://kwork.ru/user/obscurebobcat,1000,4.5,96,
site-speed,"Ускорение сайта, Оптимизация скорости по PageSpeed Wordpress Elementor",https://kwork.ru/website-repair/13017584/uskorenie-sayta-optimizatsiya-skorosti-po-pagespeed-wordpress-elementor,EmOne,https://kwork.ru/user/emone,2000,5.0,3K+,Выбор Kwork
site-speed,"Ускорение сайта на вордпресс",https://kwork.ru/website-repair/14727804/uskorenie-sayta-na-vordpress,profysite,https://kwork.ru/user/profysite,1000,4.7,123,
site-speed,"Ускорение и оптимизация WordPress",https://kwork.ru/website-repair/1507072/uskorenie-i-optimizatsiya-wordpress,LEOnidUKG,https://kwork.ru/user/leonidukg,2000,5.0,1K+,
site-speed,"Ускорение и оптимизация OpenCart и OCStore",https://kwork.ru/website-repair/1507303/uskorenie-i-optimizatsiya-opencart-i-ocstore,LEOnidUKG,https://kwork.ru/user/leonidukg,2000,5.0,1K+,
site-speed,"Ускорение WordPress сайта под PageSpeed+Core Web Vitals",https://kwork.ru/website-repair/16026964/uskorenie-wordpress-sayta-pod-pagespeed-core-web-vitals,wturm,https://kwork.ru/user/wturm,3500,5.0,7K+,
site-speed,"Оптимизация и ускорение работы сайта",https://kwork.ru/website-repair/16075952/optimizatsiya-i-uskorenie-raboty-sayta,Archipov,https://kwork.ru/user/archipov,500,5.0,759,
site-speed,"Повышение скорости и оценки сайта по тесту Google PageSpeed",https://kwork.ru/website-repair/16959115/povyshenie-skorosti-i-otsenki-sayta-po-testu-google-pagespeed,W-Zilla,https://kwork.ru/user/w-zilla,4000,5.0,459,
site-speed,"Оптимизация сайта Joomla в соответствии с Google Page Speed",https://kwork.ru/website-repair/17335505/optimizatsiya-sayta-joomla-v-sootvetstvii-s-google-page-speed,Sov888,https://kwork.ru/user/sov888,4000,5.0,243,
site-speed,"Ускорение сайта на Wordpress, оптимизация загрузки Elementor",https://kwork.ru/website-repair/18301364/uskorenie-sayta-na-wordpress-optimizatsiya-zagruzki-elementor,RavStyle,https://kwork.ru/user/ravstyle,4500,5.0,995,
site-speed,"Ускорение работы сервера и сайта",https://kwork.ru/website-repair/25381618/uskorenie-raboty-servera-i-sayta,gev511,https://kwork.ru/user/gev511,5000,5.0,86,
site-speed,"Ускорение и оптимизация сайта по Google PageSpeed Insights",https://kwork.ru/website-repair/28538104/uskorenie-i-optimizatsiya-sayta-po-google-pagespeed-insights,TimTim,https://kwork.ru/user/timtim,500,4.9,81,
site-speed,"Ускорение, оптимизация скорости Wordpress по Google PageSpeed Insights",https://kwork.ru/website-repair/28571147/uskorenie-optimizatsiya-skorosti-wordpress-po-google-pagespeed-insights,EmOne,https://kwork.ru/user/emone,1000,5.0,3K+,Выбор Kwork
site-speed,"Ускорю, подниму сайт на cms wordpress, по pagespeed в зелёную зону",https://kwork.ru/website-repair/29159802/uskoryu-podnimu-sayt-na-cms-wordpress-po-pagespeed-v-zelyonuyu-zonu,abatfarea,https://kwork.ru/user/abatfarea,3500,4.9,375,
site-speed,"Оптимизация, ускорение скорости загрузки pagespeed сайта на MODX Revo",https://kwork.ru/website-repair/32194442/optimizatsiya-uskorenie-skorosti-zagruzki-pagespeed-sayta-na-modx-revo,nikolaigubanov,https://kwork.ru/user/nikolaigubanov,11000,5.0,92,
site-speed,"Оптимизирую сайт по рекомендациям google pagespeed insights",https://kwork.ru/website-repair/32220502/optimiziruyu-sayt-po-rekomendatsiyam-google-pagespeed-insights,GaffarSEO,https://kwork.ru/user/gaffarseo,500,4.8,273,
site-speed,"Массовое сжатие изображений",https://kwork.ru/website-repair/36085407/massovoe-szhatie-izobrazheniy,ROADROUT,https://kwork.ru/user/roadrout,1000,5.0,1K+,Выбор Kwork
site-speed,"Ускорение и оптимизация сайта",https://kwork.ru/website-repair/369298/uskorenie-i-optimizatsiya-sayta,artemrav,https://kwork.ru/user/artemrav,6000,5.0,2K+,
site-speed,"Ускорение сайта на Wordpress по Google Page Speed",https://kwork.ru/website-repair/40547928/uskorenie-sayta-na-wordpress-po-google-page-speed,v1rtezz,https://kwork.ru/user/v1rtezz,4000,5.0,33,
site-speed,"Ускорение сайта по Google PageSpeed",https://kwork.ru/website-repair/431616/uskorenie-sayta-po-google-pagespeed,alexwebdev_pro,https://kwork.ru/user/alexwebdev_pro,2500,5.0,1K+,
site-speed,"Ускорение сайта, Оптимизация скорости загрузки, PageSpeed Speed Vitals",https://kwork.ru/website-repair/9250841/uskorenie-sayta-optimizatsiya-skorosti-zagruzki-pagespeed-speed-vitals,alexx47h,https://kwork.ru/user/alexx47h,15000,5.0,148,
site-speed,"Турбо страницы Яндекс для сайта на MODX",https://kwork.ru/website-repair/9509938/turbo-stranitsy-yandeks-dlya-sayta-na-modx,modx_master,https://kwork.ru/user/modx_master,3000,5.0,1K+,
