segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
telegram-mini-apps,"Разработка Телеграм или Макс бота и TG Max Web Mini App под ключ",https://kwork.ru/script-programming/1238984/razrabotka-telegram-ili-maks-bota-i-tg-max-web-mini-app-pod-klyuch,FLADE_DIGITAL,https://kwork.ru/user/flade_digital,30000,5.0,195,Выбор Kwork
telegram-mini-apps,"Разработка Телеграм Мини Приложения на React под ключ",https://kwork.ru/script-programming/34767022/razrabotka-telegram-mini-prilozheniya-na-react-pod-klyuch,MrVeit,https://kwork.ru/user/mrveit,100000,4.9,39,Выбор Kwork
telegram-mini-apps,"Верстка и фронт энд разработка приложения в телеграм",https://kwork.ru/script-programming/36206646/verstka-i-front-end-razrabotka-prilozheniya-v-telegram,webdillerru,https://kwork.ru/user/webdillerru,25000,5.0,3,
telegram-mini-apps,"Telegram бот с веб-интерфейсом TelegramMiniApp",https://kwork.ru/script-programming/36217188/telegram-bot-s-veb-interfeysom-telegramminiapp,zahar_dimidov,https://kwork.ru/user/zahar_dimidov,10000,4.9,29,
telegram-mini-apps,"Разработаем с нуля Telegram Mini Apps Unity, Python",https://kwork.ru/script-programming/38003748/razrabotaem-s-nulya-telegram-mini-apps-unity-python,Roller124,https://kwork.ru/user/roller124,10000,5.0,42,Выбор Kwork
telegram-mini-apps,"Разработка Telegram Mini App",https://kwork.ru/script-programming/38170104/razrabotka-telegram-mini-app,kristian1,https://kwork.ru/user/kristian1,6000,4.9,67,Выбор Kwork
telegram-mini-apps,"Разработка Telegram Mini Apps",https://kwork.ru/script-programming/41635399/razrabotka-telegram-mini-apps,hacktaika_manager,https://kwork.ru/user/hacktaika_manager,500,4.7,29,
telegram-mini-apps,"Готовое приложение Интернет-магазина для Telegram mini app",https://kwork.ru/script-programming/43268439/gotovoe-prilozhenie-internet-magazina-dlya-telegram-mini-app,kristian1,https://kwork.ru/user/kristian1,40000,4.9,67,
telegram-mini-apps,"Создам Mini App с душой",https://kwork.ru/script-programming/43659095/sozdam-mini-app-s-dushoy,KvantumCEO,https://kwork.ru/user/kvantumceo,500,5.0,43,Выбор Kwork
telegram-mini-apps,"Разработка телеграм mini app",https://kwork.ru/script-programming/46300016/razrabotka-telegram-mini-app,axldev,https://kwork.ru/user/axldev,100000,5.0,382,
telegram-mini-apps,"Mini App в Telegram по вашему ТЗ для автоматизации бизнеса, Mini App",https://kwork.ru/script-programming/47097789/mini-app-v-telegram-po-vashemu-tz-dlya-avtomatizatsii-biznesa-mini-app,yaroslavkulikov,https://kwork.ru/user/yaroslavkulikov,20000,4.9,56,
telegram-mini-apps,"Разработка Telegram Web Mini App бота под ключ: магазин, бизнес, crm",https://kwork.ru/script-programming/47128495/razrabotka-telegram-web-mini-app-bota-pod-klyuch-magazin-biznes-crm,markscirpts,https://kwork.ru/user/markscirpts,500,5.0,70,Выбор Kwork
telegram-mini-apps,"Разработка под ключ Telegram Mini App",https://kwork.ru/script-programming/47604540/razrabotka-pod-klyuch-telegram-mini-app,withmementomori,https://kwork.ru/user/withmementomori,30000,5.0,221,
telegram-mini-apps,"Разработка Telegram бота",https://kwork.ru/script-programming/48376807/razrabotka-telegram-bota,KodeDeveloper,https://kwork.ru/user/kodedeveloper,5000,5.0,60,Выбор Kwork
telegram-mini-apps,"Профессиональная разработка Telegram Mini App на Angular",https://kwork.ru/script-programming/48421719/professionalnaya-razrabotka-telegram-mini-app-na-angular,smm-seller1,https://kwork.ru/user/smm-seller1,70000,4.6,97,
telegram-mini-apps,"Напишу Телеграм и MAX Бота с Mini app",https://kwork.ru/script-programming/48839569/napishu-telegram-i-max-bota-s-mini-app,Egor_procod,https://kwork.ru/user/egor_procod,10000,4.9,60,Выбор Kwork
telegram-mini-apps,"Разработка TMA, Telegram Мини-Приложения на React + Python",https://kwork.ru/script-programming/48845106/razrabotka-tma-telegram-mini-prilozheniya-na-react-python,Roller124,https://kwork.ru/user/roller124,60000,5.0,42,
telegram-mini-apps,"Напишу Телеграм или MAX Бота с Mini app",https://kwork.ru/script-programming/52513632/napishu-telegram-ili-max-bota-s-mini-app,alexU_,https://kwork.ru/user/alexu_,6000,5.0,11,
telegram-mini-apps,"Создам Telegram Mini App для бизнеса",https://kwork.ru/script-programming/52603729/sozdam-telegram-mini-app-dlya-biznesa,Vladislav_IT_1,https://kwork.ru/user/vladislav_it_1,13000,5.0,9,
telegram-mini-apps,"Заказ: Разработка Фитнес Мини-Приложения Telegram",https://kwork.ru/script-programming/52634119/zakaz-razrabotka-fitnes-mini-prilozheniya-telegram,nexodev,https://kwork.ru/user/nexodev,50000,5.0,3,
telegram-mini-apps,"Разработаю продукт под ключ. Telegram Mini-apps MVP",https://kwork.ru/script-programming/52799887/razrabotayu-produkt-pod-klyuch-telegram-mini-apps-mvp,novaclaw_it,https://kwork.ru/user/novaclaw_it,6000,5.0,11,
telegram-mini-apps,"Доработка и новый функционал в Telegram Mini-App",https://kwork.ru/script-programming/53652310/dorabotka-i-noviy-funktsional-v-telegram-mini-app,nexodev,https://kwork.ru/user/nexodev,10000,5.0,3,
telegram-mini-apps,"Разработаю чат-бота для мессенджера MAX под ключ",https://kwork.ru/script-programming/53924441/razrabotayu-chat-bota-dlya-messendzhera-max-pod-klyuch,Alimyradov,https://kwork.ru/user/alimyradov,5000,5.0,6,
