segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
website-development,"Создание сайта на Wordpress по вашему макету или под ключ по запросу",https://kwork.ru/website-development/11923889/sozdanie-sayta-na-wordpress-po-vashemu-maketu-ili-pod-klyuch-po-zaprosu,yuli_braiz34,https://kwork.ru/user/yuli_braiz34,25000,5.0,254,
website-development,"Лендинг Tilda любой сложности. Дизайн и верстка сайта, магазина Тильда",https://kwork.ru/website-development/13344459/lending-tilda-lyuboy-slozhnosti-dizayn-i-verstka-sayta-magazina-tilda,yuikamart,https://kwork.ru/user/yuikamart,35000,5.0,187,
website-development,"Сделаю интернет-магазин на CMS OpenCart, OcStore под ключ",https://kwork.ru/website-development/136044/sdelayu-internet-magazin-na-cms-opencart-ocstore-pod-klyuch,Opencart-master,https://kwork.ru/user/opencart-master,10000,5.0,1K+,Выбор Kwork
website-development,"Сайт под ключ с базовым SEO под все устройства",https://kwork.ru/website-development/136799/sayt-pod-klyuch-s-bazovym-seo-pod-vse-ustroystva,xanty,https://kwork.ru/user/xanty,9000,5.0,420,
website-development,"Создам сайт c удобной CMS под ключ",https://kwork.ru/website-development/139742/sozdam-sayt-c-udobnoy-cms-pod-klyuch,Smaulik,https://kwork.ru/user/smaulik,3500,5.0,520,Выбор Kwork
website-development,"Одностраничный сайт landing на Wordpress",https://kwork.ru/website-development/1400048/odnostranichniy-sayt-landing-na-wordpress,Smaulik,https://kwork.ru/user/smaulik,19000,5.0,520,
website-development,"Сделаю современный сайт, лендинг, интернет-магазин на Тильде",https://kwork.ru/website-development/15872836/sdelayu-sovremenniy-sayt-lending-internet-magazin-na-tilde,SergeySNV,https://kwork.ru/user/sergeysnv,15000,5.0,141,
website-development,"Создание современного сайта на Wordpress",https://kwork.ru/website-development/16617/sozdanie-sovremennogo-sayta-na-wordpress,Leomon,https://kwork.ru/user/leomon,9000,5.0,2K+,
website-development,"Создание сайта на WordPress и Elementor Pro",https://kwork.ru/website-development/18734333/sozdanie-sayta-na-wordpress-i-elementor-pro,Red_dev,https://kwork.ru/user/red_dev,10000,5.0,410,Выбор Kwork
website-development,"Многостраничный сайт или каталог под ключ на Tilda",https://kwork.ru/website-development/18867616/mnogostranichniy-sayt-ili-katalog-pod-klyuch-na-tilda,SkobkiLabs,https://kwork.ru/user/skobkilabs,100000,4.8,578,
website-development,"Лендинг для бизнеса на WordPress+Elementor",https://kwork.ru/website-development/21890005/lending-dlya-biznesa-na-wordpress-elementor,webexspace,https://kwork.ru/user/webexspace,20000,5.0,543,
website-development,"Создам landing на конструкторе Tilda",https://kwork.ru/website-development/22202548/sozdam-landing-na-konstruktore-tilda,sonya_sokol1,https://kwork.ru/user/sonya_sokol1,15000,5.0,226,
website-development,"Создание Лендинга на конструкторе Тильда, Tilda",https://kwork.ru/website-development/2272656/sozdanie-lendinga-na-konstruktore-tilda-tilda,alex_zarovchatskiy,https://kwork.ru/user/alex_zarovchatskiy,6000,4.9,309,
website-development,"Интернет-магазин на WordPress + WooCommerce под ключ",https://kwork.ru/website-development/26973397/internet-magazin-na-wordpress-woocommerce-pod-klyuch,Shahzod_webdev,https://kwork.ru/user/shahzod_webdev,7000,4.9,132,Выбор Kwork
website-development,"Сайт под ключ + дизайн. Landing Page. Backend",https://kwork.ru/website-development/272258/sayt-pod-klyuch-dizayn-landing-page-backend,azawa,https://kwork.ru/user/azawa,30000,5.0,898,
website-development,"Создание сайта на 1С Битрикс, разработка интернет-магазина",https://kwork.ru/website-development/28240640/sozdanie-sayta-na-1s-bitriks-razrabotka-internet-magazina,max_volkov,https://kwork.ru/user/max_volkov,3000,5.0,938,Выбор Kwork
website-development,"Создание лендинга с нуля - создание сайта",https://kwork.ru/website-development/33045699/sozdanie-lendinga-s-nulya-sozdanie-sayta,jr_solutions,https://kwork.ru/user/jr_solutions,20000,5.0,202,Выбор Kwork
website-development,"Универсальный шаблон для создания сайта на Joomla 3, 4 и Joomla 5",https://kwork.ru/website-development/359370/universalniy-shablon-dlya-sozdaniya-sayta-na-joomla-3-4-i-joomla-5,muba4,https://kwork.ru/user/muba4,1000,5.0,108,Выбор Kwork
website-development,"Лендинг на Tilda для любой сферы и сложности",https://kwork.ru/website-development/396179/lending-na-tilda-dlya-lyuboy-sfery-i-slozhnosti,web3alex,https://kwork.ru/user/web3alex,5000,5.0,329,
website-development,"Разработка лендинга на Tilda под ключ",https://kwork.ru/website-development/4353829/razrabotka-lendinga-na-tilda-pod-klyuch,DamonWhite,https://kwork.ru/user/damonwhite,20000,5.0,94,Выбор Kwork
website-development,"Адаптивный сайт на Wordpress под ключ",https://kwork.ru/website-development/631737/adaptivniy-sayt-na-wordpress-pod-klyuch,skylabteam,https://kwork.ru/user/skylabteam,90000,4.9,46,Выбор Kwork
website-development,"Создам лендинг по вашим пожеланиям",https://kwork.ru/website-development/8588700/sozdam-lending-po-vashim-pozhelaniyam,RavStyle,https://kwork.ru/user/ravstyle,4500,5.0,995,
website-development,"Создание интернет-магазина под ключ",https://kwork.ru/website-development/897834/sozdanie-internet-magazina-pod-klyuch,Profi-Sait,https://kwork.ru/user/profi-sait,10000,5.0,286,Выбор Kwork
website-development,"Создам продающий лендинг под ключ",https://kwork.ru/website-development/983675/sozdam-prodayushchiy-lending-pod-klyuch,sergey_sekretar,https://kwork.ru/user/sergey_sekretar,5000,5.0,491,Выбор Kwork
