segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
website-repair,"Opencart. Доработки, исправление ошибок",https://kwork.ru/website-repair/5934118/opencart-dorabotki-ispravlenie-oshibok,alexgah,https://kwork.ru/user/alexgah,500,5.0,2K+,Выбор Kwork
website-repair,"Доработка сайта на WordPress",https://kwork.ru/website-repair/124000/dorabotka-sayta-na-wordpress,hello_wp,https://kwork.ru/user/hello_wp,500,5.0,1K+,Выбор Kwork
website-repair,"Wordpress - доработаю сайт",https://kwork.ru/website-repair/10381346/wordpress-dorabotayu-sayt,wordpress2008,https://kwork.ru/user/wordpress2008,500,5.0,1K+,Выбор Kwork
website-repair,"Доработка сайта на CMS Tilda. Изменение, правка сайта",https://kwork.ru/website-repair/32197066/dorabotka-sayta-na-cms-tilda-izmenenie-pravka-sayta,zhdanovdesign,https://kwork.ru/user/zhdanovdesign,2000,5.0,159,Выбор Kwork
website-repair,"Разработка нового функционала на Wordpress, Wordpress + Woocommerce",https://kwork.ru/website-repair/23753036/razrabotka-novogo-funktsionala-na-wordpress-wordpress-woocommerce,Novik_Dmitry,https://kwork.ru/user/novik_dmitry,1000,5.0,138,
website-repair,"Правки сайта MODX",https://kwork.ru/website-repair/9419908/pravki-sayta-modx,modx_master,https://kwork.ru/user/modx_master,1000,5.0,1K+,Выбор Kwork
website-repair,"Доработка сайта на WordPress",https://kwork.ru/website-repair/12870511/dorabotka-sayta-na-wordpress,OlegTixomirov,https://kwork.ru/user/olegtixomirov,2000,5.0,588,
website-repair,"Сделаю небольшую правку WordPress или WooCommerce",https://kwork.ru/website-repair/42191629/sdelayu-nebolshuyu-pravku-wordpress-ili-woocommerce,SH_WEB,https://kwork.ru/user/sh_web,500,5.0,334,Выбор Kwork
website-repair,"Доработка сайта MODX",https://kwork.ru/website-repair/9922862/dorabotka-sayta-modx,modx_master,https://kwork.ru/user/modx_master,1000,5.0,1K+,Выбор Kwork
website-repair,"Доработка сайта на MODX CMF",https://kwork.ru/website-repair/19731854/dorabotka-sayta-na-modx-cmf,MornGail,https://kwork.ru/user/morngail,1000,5.0,247,
website-repair,"Любые доработки сайта 1С Битрикс",https://kwork.ru/website-repair/429934/lyubie-dorabotki-sayta-1s-bitriks,alexwebdev_pro,https://kwork.ru/user/alexwebdev_pro,1000,5.0,1K+,Выбор Kwork
website-repair,"Доработка и настройка сайта на Drupal 7",https://kwork.ru/website-repair/282792/dorabotka-i-nastroyka-sayta-na-drupal-7,do_kova,https://kwork.ru/user/do_kova,1000,5.0,432,Выбор Kwork
website-repair,"Доработка на Django",https://kwork.ru/website-repair/27095427/dorabotka-na-django,,,1500,,,
website-repair,"Доработка сайта на Tilda",https://kwork.ru/website-repair/14611745/dorabotka-sayta-na-tilda,the_tilda_guy,https://kwork.ru/user/the_tilda_guy,20000,5.0,80,
website-repair,"Wordpress. Доработки, исправление ошибок",https://kwork.ru/website-repair/6150181/wordpress-dorabotki-ispravlenie-oshibok,alexgah,https://kwork.ru/user/alexgah,500,5.0,2K+,Выбор Kwork
website-repair,"Доработка сайта на 1С Битрикс",https://kwork.ru/website-repair/18028913/dorabotka-sayta-na-1s-bitriks,ilkarkarakurt,https://kwork.ru/user/ilkarkarakurt,1000,5.0,1K+,
website-repair,"Правки сайта на Wordpress",https://kwork.ru/website-repair/27038/pravki-sayta-na-wordpress,Mendax,https://kwork.ru/user/mendax,500,5.0,2K+,Выбор Kwork
website-repair,"Доработка сайта",https://kwork.ru/website-repair/21929453/dorabotka-sayta,Shahzod_webdev,https://kwork.ru/user/shahzod_webdev,1000,4.9,132,Выбор Kwork
website-repair,"Профессиональные доработки и исправление ошибок на CMS 1С-Битрикс",https://kwork.ru/website-repair/9491608/professionalnie-dorabotki-i-ispravlenie-oshibok-na-cms-1s-bitriks,Vaskevich_Dev,https://kwork.ru/user/vaskevich_dev,2000,5.0,885,Выбор Kwork
website-repair,"Доработка сайта на Laravel",https://kwork.ru/website-repair/24479153/dorabotka-sayta-na-laravel,victes,https://kwork.ru/user/victes,1000,5.0,92,Выбор Kwork
website-repair,"Доработка сайта на CMS Wordpress",https://kwork.ru/website-repair/29571588/dorabotka-sayta-na-cms-wordpress,serega000,https://kwork.ru/user/serega000,500,5.0,181,Выбор Kwork
website-repair,"Доработка и исправление Opencart",https://kwork.ru/website-repair/393887/dorabotka-i-ispravlenie-opencart,webshop-dev,https://kwork.ru/user/webshop-dev,1000,5.0,1K+,
website-repair,"Доработка сайта на WordPress, PHP HTML, JS, ACF",https://kwork.ru/website-repair/7361604/dorabotka-sayta-na-wordpress-php-html-js-acf,RavStyle,https://kwork.ru/user/ravstyle,3000,5.0,995,Выбор Kwork
